ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
8143/3	Preferred	Superficial spreading adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8144/0	Preferred	Adenoma, intestinal type	NA	NA	NA	NA	NA	NA	NA
8144/3	Preferred	Adenocarcinoma, intestinal type	(C16._)	NA	NA	NA	NA	NA	NA
8144/3	Synonym	Adenocarcinoma, enteric	NA	NA	NA	NA	NA	NA	NA
8144/3	Synonym	Carcinoma, intestinal type	(C16._)	NA	NA	NA	NA	NA	NA
8144/3	Synonym	Mucinous carcinoma, intestinal type	NA	NA	NA	NA	NA	NA	NA
8145/3	Preferred	Carcinoma, diffuse type	(C16._)	NA	NA	NA	NA	NA	NA
8145/3	Synonym	Adenocarcinoma, diffuse type	(C16._)	NA	NA	NA	NA	NA	NA
8146/0	Preferred	Monomorphic adenoma	NA	NA	NA	NA	NA	NA	NA
8147/0	Preferred	Basal cell adenoma	NA	NA	NA	NA	NA	NA	NA
8147/3	Preferred	Basal cell adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8147/3	Related	Basal cell carcinoma of prostate	(C61.9)	NA	NA	NA	NA	NA	NA
8148/0	Preferred	Glandular intraepithelial neoplasia, low grade	NA	NA	NA	NA	NA	NA	NA
8148/0	Synonym	Glandular intraepithelial neoplasia, grade I	NA	NA	NA	NA	NA	NA	NA
8148/0	Synonym	Glandular intraepithelial neoplasia, grade II	NA	NA	NA	NA	NA	NA	NA
8148/0	Related	Biliary intraepithelial neoplasia, low grade	NA	NA	NA	NA	NA	NA	NA
8148/0	Related	Esophageal glandular dysplasia (intraepithelial neoplasia), low grade	(C15._)	NA	NA	NA	NA	NA	NA
8148/2	Preferred	Glandular intraepithelial neoplasia, high grade	NA	NA	NA	NA	NA	NA	NA
8148/2	Synonym	Glandular intraepithelial neoplasia, grade III	NA	NA	NA	NA	NA	NA	NA
8148/2	Synonym	Flat intraepithelial neoplasia, high grade	NA	NA	NA	NA	NA	NA	NA
8148/2	Related	Biliary intraepithelial neoplasia, high grade	NA	NA	NA	NA	NA	NA	NA
8148/2	Synonym	Biliary intraepithelial neoplasia, grade 3 (BilIN-3)	NA	NA	NA	NA	NA	NA	NA
8148/2	Related	Esophageal glandular dysplasia (intraepithelial neoplasia), high grade	(C15._)	NA	NA	NA	NA	NA	NA
8148/2	Synonym	Esophageal intraepithelial neoplasia, high grade	(C15._)	NA	NA	NA	NA	NA	NA
8148/2	Related	Prostatic intraepithelial neoplasia, grade III	(C61.9)	NA	NA	NA	NA	NA	NA
8148/2	Synonym	PIN III	(C61.9)	NA	NA	NA	NA	NA	NA
8148/2	Synonym	Prostatic intraepithelial neoplasia, high grade	(C61.9)	NA	NA	NA	NA	NA	NA
8149/0	Preferred	Canalicular adenoma	NA	NA	NA	NA	NA	NA	NA
8150/0	Preferred	Pancreatic neuroendocrine microadenoma	(C25.4)	NA	NA	NA	NA	NA	NA
8150/0	Synonym	Pancreatic endocrine tumor, benign	(C25.4)	[obs]	NA	NA	NA	NA	NA
8150/0	Synonym	Islet cell tumor, benign	(C25.4)	[obs]	NA	NA	NA	NA	NA
8150/0	Related	Pancreatic microadenoma	(C25.4)	NA	NA	NA	NA	NA	NA
8150/3	Preferred	Pancreatic neuroendocrine tumor, nonfunctioning	(C25.4)	NA	NA	NA	NA	NA	NA
8150/3	Synonym	Pancreatic endocrine tumor, nonfunctioning	(C25.4)	NA	NA	NA	NA	NA	NA
8150/3	Synonym	Pancreatic endocrine tumor, NOS	(C25.4)	NA	NA	NA	NA	NA	NA
8150/3	Related	Islet cell adenoma	(C25.4)	[obs]	NA	NA	NA	NA	NA
8150/3	Related	Islet cell adenomatosis	(C25.4)	[obs]	NA	NA	NA	NA	NA
8150/3	Related	Nesidioblastoma	(C25.4)	[obs]	NA	NA	NA	NA	NA
8150/3	Related	Islet cell tumor, NOS	(C25.4)	[obs]	NA	NA	NA	NA	NA
8150/3	Related	Islet cell adenocarcinoma	(C25.4)	[obs]	NA	NA	NA	NA	NA
8150/3	Related	Islet cell carcinoma	(C25.4)	[obs]	NA	NA	NA	NA	NA
8151/3	Preferred	Insulinoma, NOS	(C25.4)	NA	NA	NA	NA	NA	NA
8151/3	Synonym	Beta cell adenoma	(C25.4)	NA	NA	NA	NA	NA	NA
8151/3	Synonym	Beta cell tumor	(C25.4)	NA	NA	NA	NA	NA	NA
8152/3	Preferred	Glucagonoma	NA	NA	NA	NA	NA	NA	NA
8152/3	Synonym	Alpha cell tumor	NA	NA	NA	NA	NA	NA	NA
8152/3	Related	Enteroglucagonoma	NA	[obs]	NA	NA	NA	NA	NA
8152/3	Related	Glucagon-like peptide-producing tumor	NA	NA	NA	NA	NA	NA	NA
8152/3	Related	L-cell tumor	NA	NA	NA	NA	NA	NA	NA
8152/3	Related	Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide producing tumor	(C25.4)	NA	NA	NA	NA	NA	NA
8152/3	Synonym	PP/PYY producing tumor	NA	NA	NA	NA	NA	NA	NA
8153/3	Preferred	Gastrinoma	NA	NA	NA	NA	NA	NA	NA
8153/3	Synonym	G cell tumor	NA	NA	NA	NA	NA	NA	NA
8153/3	Synonym	Gastrin cell tumor	NA	NA	NA	NA	NA	NA	NA
8154/3	Preferred	Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)	NA	NA	NA	NA	NA	NA	NA
8154/3	Related	Mixed pancreatic endocrine and exocrine tumor, malignant	(C25._)	NA	NA	NA	NA	NA	NA
8154/3	Synonym	Mixed islet cell and exocrine adenocarcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8154/3	Related	Mixed acinar-endocrine carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8154/3	Synonym	Mixed acinar-neuroendocrine carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8154/3	Related	Mixed acinar-endocrine-ductal carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8154/3	Related	Mixed ductal-endocrine carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8154/3	Synonym	Mixed ductal-neuroendocrine carcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8154/3	Related	Mixed endocrine and exocrine adenocarcinoma	(C25._)	NA	NA	NA	NA	NA	NA
8155/3	Preferred	Vipoma	NA	NA	NA	NA	NA	NA	NA
8156/3	Preferred	Somatostatinoma	NA	NA	NA	NA	NA	NA	NA
8156/3	Synonym	Somatostatin cell tumor	NA	NA	NA	NA	NA	NA	NA
8158/3	Preferred	ACTH-producing tumor	NA	NA	NA	NA	NA	NA	NA
8158/3	Related	Endocrine tumor, functioning, NOS	NA	[obs]	NA	NA	NA	NA	NA
8160/0	Preferred	Bile duct adenoma	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8160/0	Synonym	Cholangioma	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8160/3	Preferred	Cholangiocarcinoma	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8160/3	Synonym	Bile duct adenocarcinoma	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8160/3	Synonym	Bile duct carcinoma	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8161/0	Preferred	Bile duct cystadenoma	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8161/3	Preferred	Bile duct cystadenocarcinoma	(C22.1, C24.0)	NA	NA	NA	NA	NA	NA
8162/3	Preferred	Perihilar cholangiocarcinoma	(C24.0)	NA	NA	NA	NA	NA	NA
8162/3	Synonym	Klatskin tumor	(C24.0)	[obs]	NA	NA	NA	NA	NA
8163/0	Preferred	Pancreatobiliary neoplasm, non-invasive	NA	NA	NA	NA	NA	NA	NA
8163/0	Synonym	Non-invasive pancreatobiliary papillary neoplasm with low grade dysplasia	NA	NA	NA	NA	NA	NA	NA
8163/0	Synonym	Non-invasive pancreatobiliary papillary neoplasm with low grade intraepithelial neoplasia	NA	NA	NA	NA	NA	NA	NA
8163/2	Preferred	Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia	(C24.1)	NA	NA	NA	NA	NA	NA
8163/2	Synonym	Non-invasive pancreatobiliary papillary neoplasm with high grade dysplasia	(C24.1)	NA	NA	NA	NA	NA	NA
8163/2	Synonym	Non-invasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia	(C24.1)	NA	NA	NA	NA	NA	NA
8163/3	Preferred	Pancreatobiliary type carcinoma	(C24.1)	NA	NA	NA	NA	NA	NA
8163/3	Synonym	Adenocarcinoma, pancreatobiliary type	(C24.1)	NA	NA	NA	NA	NA	NA
8170/0	Preferred	Liver cell adenoma	(C22.0)	NA	NA	NA	NA	NA	NA
8170/0	Synonym	Hepatocellular adenoma	(C22.0)	NA	NA	NA	NA	NA	NA
8170/0	Synonym	Hepatoma, benign	(C22.0)	NA	NA	NA	NA	NA	NA
8170/3	Preferred	Hepatocellular carcinoma, NOS	(C22.0)	NA	NA	NA	NA	NA	NA
8170/3	Synonym	Hepatoma, NOS	(C22.0)	NA	NA	NA	NA	NA	NA
8170/3	Synonym	Hepatocarcinoma	(C22.0)	NA	NA	NA	NA	NA	NA
8170/3	Synonym	Hepatoma, malignant	(C22.0)	NA	NA	NA	NA	NA	NA
8170/3	Synonym	Liver cell carcinoma	(C22.0)	NA	NA	NA	NA	NA	NA
8171/3	Preferred	Hepatocellular carcinoma, fibrolamellar	(C22.0)	NA	NA	NA	NA	NA	NA
8172/3	Preferred	Hepatocellular carcinoma, scirrhous	(C22.0)	NA	NA	NA	NA	NA	NA
8172/3	Synonym	Sclerosing hepatic carcinoma	(C22.0)	NA	NA	NA	NA	NA	NA
8173/3	Preferred	Hepatocellular carcinoma, spindle cell variant	(C22.0)	NA	NA	NA	NA	NA	NA
8173/3	Synonym	Hepatocellular carcinoma, sarcomatoid	(C22.0)	NA	NA	NA	NA	NA	NA
8174/3	Preferred	Hepatocellular carcinoma, clear cell type	(C22.0)	NA	NA	NA	NA	NA	NA
8175/3	Preferred	Hepatocellular carcinoma, pleomorphic type	(C22.0)	NA	NA	NA	NA	NA	NA
8180/3	Preferred	Combined hepatocellular carcinoma and cholangiocarcinoma	(C22.0)	NA	NA	NA	NA	NA	NA
8180/3	Synonym	Hepatocholangiocarcinoma	(C22.0)	NA	NA	NA	NA	NA	NA
8180/3	Synonym	Mixed hepatocellular and bile duct carcinoma	(C22.0)	NA	NA	NA	NA	NA	NA
8190/0	Preferred	Trabecular adenoma	NA	NA	NA	NA	NA	NA	NA
8190/3	Preferred	Trabecular adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8190/3	Synonym	Trabecular carcinoma	NA	NA	NA	NA	NA	NA	NA
8191/0	Preferred	Embryonal adenoma	NA	NA	NA	NA	NA	NA	NA
8200/0	Preferred	Eccrine dermal cylindroma	(C44._)	NA	NA	NA	NA	NA	NA
8200/0	Related	Cylindroma of skin	(C44._)	NA	NA	NA	NA	NA	NA
8200/0	Related	Cylindroma of breast	(C50._)	NA	NA	NA	NA	NA	NA
8200/0	Related	Turban tumor	(C44.4)	NA	NA	NA	NA	NA	NA
8200/3	Preferred	Adenoid cystic carcinoma	NA	NA	NA	NA	NA	NA	NA
8200/3	Synonym	Cylindroma, NOS	NA	[obs]	NA	NA	NA	(except of skin or breast M-8200/0)	NA
8200/3	Synonym	Adenocarcinoma, cylindroid	NA	[obs]	NA	NA	NA	NA	NA
8200/3	Synonym	Adenocystic carcinoma	NA	NA	NA	NA	NA	NA	NA
8200/3	Related	Bronchial adenoma, cylindroid	(C34._)	[obs]	NA	NA	NA	NA	NA
8200/3	Related	Thymic carcinoma with adenoid cystic carcinoma-like features	(C37.9)	NA	NA	NA	NA	NA	NA
8201/2	Preferred	Cribriform carcinoma in situ	(C50._)	NA	NA	NA	NA	NA	NA
8201/2	Synonym	Ductal carcinoma in situ, cribriform type	(C50._)	NA	NA	NA	NA	NA	NA
8201/3	Preferred	Cribriform carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8201/3	Synonym	Ductal carcinoma, cribriform type	(C50._)	NA	NA	NA	NA	NA	NA
8201/3	Related	Cribriform comedo type carcinoma	(C18._, C19.9, C20.9)	NA	NA	NA	NA	NA	NA
8201/3	Synonym	Adenocarcinoma, cribriform comedo type	(C18._, C19.9, C20.9)	NA	NA	NA	NA	NA	NA
8202/0	Preferred	Microcystic adenoma	NA	NA	NA	NA	NA	NA	NA
8204/0	Preferred	Lactating adenoma	(C50._)	NA	NA	NA	NA	NA	NA
8210/0	Preferred	Adenomatous polyp, NOS	NA	NA	NA	NA	NA	NA	NA
8210/0	Synonym	Polypoid adenoma	NA	NA	NA	NA	NA	NA	NA
8210/2	Preferred	Adenocarcinoma in situ in adenomatous polyp	NA	NA	NA	NA	NA	NA	NA
8210/2	Synonym	Adenocarcinoma in situ in polyp, NOS	NA	NA	NA	NA	NA	NA	NA
8210/2	Synonym	Carcinoma in situ in polyp, NOS	NA	NA	NA	NA	NA	NA	NA
8210/2	Synonym	Adenocarcinoma in situ in polypoid adenoma	NA	NA	NA	NA	NA	NA	NA
8210/2	Synonym	Adenocarcinoma in situ in tubular adenoma	NA	NA	NA	NA	NA	NA	NA
8210/2	Synonym	Carcinoma in situ in adenomatous polyp	NA	NA	NA	NA	NA	NA	NA
8210/3	Preferred	Adenocarcinoma in adenomatous polyp	NA	NA	NA	NA	NA	NA	NA
8210/3	Synonym	Adenocarcinoma in polyp, NOS	NA	NA	NA	NA	NA	NA	NA
8210/3	Synonym	Carcinoma in polyp, NOS	NA	NA	NA	NA	NA	NA	NA
8210/3	Synonym	Adenocarcinoma in polypoid adenoma	NA	NA	NA	NA	NA	NA	NA
8210/3	Synonym	Adenocarcinoma in tubular adenoma	NA	NA	NA	NA	NA	NA	NA
8210/3	Synonym	Carcinoma in adenomatous polyp	NA	NA	NA	NA	NA	NA	NA
8211/0	Preferred	Tubular adenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8211/3	Preferred	Tubular adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8211/3	Synonym	Tubular carcinoma	NA	NA	NA	NA	NA	NA	NA
8212/0	Preferred	Flat adenoma	NA	NA	NA	NA	NA	NA	NA
8213/0	Preferred	Serrated adenoma, NOS	(C18._)	NA	NA	NA	NA	NA	NA
8213/0	Synonym	Traditional serrated adenoma	NA	NA	NA	NA	NA	NA	NA
8213/0	Related	Mixed adenomatous and hyperplastic polyp	(C18._)	NA	NA	NA	NA	NA	NA
8213/0	Related	Sessile serrated adenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8213/0	Related	Sessile serrated polyp	NA	NA	NA	NA	NA	NA	NA
8213/0	Related	Traditional sessile serrated adenoma	NA	NA	NA	NA	NA	NA	NA
8213/3	Preferred	Serrated adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8214/3	Preferred	Parietal cell carcinoma	(C16._)	NA	NA	NA	NA	NA	NA
8214/3	Synonym	Parietal cell adenocarcinoma	(C16._)	NA	NA	NA	NA	NA	NA
8215/3	Preferred	Adenocarcinoma of anal glands	(C21.1)	NA	NA	NA	NA	NA	NA
8215/3	Synonym	Adenocarcinoma of anal ducts	(C21.1)	NA	NA	NA	NA	NA	NA
8220/0	Preferred	Adenomatous polyposis coli	(C18._)	NA	NA	NA	NA	NA	NA
8220/0	Synonym	Adenomatosis, NOS	NA	NA	NA	NA	NA	NA	NA
8220/0	Synonym	Familial polyposis coli	(C18._)	NA	NA	NA	NA	NA	NA
8220/3	Preferred	Adenocarcinoma in adenomatous polyposis coli	(C18._)	NA	NA	NA	NA	NA	NA
8221/0	Preferred	Multiple adenomatous polyps	NA	NA	NA	NA	NA	NA	NA
8221/3	Preferred	Adenocarcinoma in multiple adenomatous polyps	NA	NA	NA	NA	NA	NA	NA
8230/2	Preferred	Ductal carcinoma in situ, solid type	(C50._)	[obs]	NA	NA	NA	NA	NA
8230/2	Synonym	Intraductal carcinoma, solid type	NA	NA	NA	NA	NA	NA	NA
8230/3	Preferred	Solid carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8230/3	Synonym	Solid adenocarcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8230/3	Related	Solid carcinoma with mucin formation	NA	NA	NA	NA	NA	NA	NA
8230/3	Synonym	Solid adenocarcinoma with mucin formation	NA	NA	NA	NA	NA	NA	NA
8231/3	Preferred	Carcinoma simplex	NA	NA	NA	NA	NA	NA	NA
8240/3	Preferred	Neuroendocrine tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8240/3	Synonym	Carcinoid tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8240/3	Synonym	Carcinoid, NOS	NA	NA	NA	NA	NA	NA	NA
8240/3	Related	Bronchial adenoma, carcinoid	(C34._)	NA	NA	NA	NA	NA	NA
8240/3	Synonym	Neuroendocrine carcinoma, low grade	NA	NA	NA	NA	NA	NA	NA
8240/3	Synonym	Neuroendocrine carcinoma, well differentiated	NA	NA	NA	NA	NA	NA	NA
8240/3	Related	Neuroendocrine tumor, grade 1	NA	NA	NA	NA	NA	NA	NA
8240/3	Synonym	Typical carcinoid	NA	NA	NA	NA	NA	NA	NA
8241/3	Preferred	Enterochromaffin cell carcinoid	NA	NA	NA	NA	NA	NA	NA
8241/3	Synonym	Argentaffinoma	NA	[obs]	NA	NA	NA	NA	NA
8241/3	Synonym	Carcinoid tumor, argentaffin	NA	NA	NA	NA	NA	NA	NA
8241/3	Synonym	EC cell carcinoid	NA	NA	NA	NA	NA	NA	NA
8241/3	Synonym	Serotonin producing carcinoid	NA	NA	NA	NA	NA	NA	NA
8241/3	Synonym	Serotonin producing tumor	NA	NA	NA	NA	NA	NA	NA
8242/3	Preferred	Enterochromaffin-like cell tumor	NA	NA	NA	NA	NA	NA	NA
8242/3	Synonym	ECL cell carcinoid	NA	NA	NA	NA	NA	NA	NA
8243/3	Preferred	Goblet cell carcinoid	NA	NA	NA	NA	NA	NA	NA
8243/3	Synonym	Mucinous carcinoid	NA	NA	NA	NA	NA	NA	NA
8243/3	Synonym	Mucocarcinoid tumor	NA	NA	NA	NA	NA	NA	NA
8244/3	Preferred	Mixed adenoneuroendocrine carcinoma	NA	NA	NA	NA	NA	NA	NA
8244/3	Synonym	Combined carcinoid and adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8244/3	Synonym	Mixed carcinoid and adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8244/3	Synonym	Composite carcinoid	NA	NA	NA	NA	NA	NA	NA
8244/3	Synonym	MANEC	NA	NA	NA	NA	NA	NA	NA
8244/3	Synonym	Mixed carcinoid-adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8245/1	Preferred	Tubular carcinoid	NA	NA	NA	NA	NA	NA	NA
8245/3	Preferred	Adenocarcinoid tumor	NA	[obs]	NA	NA	NA	NA	NA
8246/3	Preferred	Neuroendocrine carcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8246/3	Synonym	Poorly differentiated neuroendocrine neoplasm	NA	NA	NA	NA	NA	NA	NA
8247/3	Preferred	Merkel cell carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8247/3	Synonym	Merkel cell tumor	(C44._)	NA	NA	NA	NA	NA	NA
8247/3	Synonym	Primary cutaneous neuroendocrine carcinoma	(C44._)	NA	NA	NA	NA	NA	NA
8248/1	Preferred	Apudoma	NA	[obs]	NA	NA	NA	NA	NA
8249/3	Preferred	Neuroendocrine tumor, grade 2	NA	NA	NA	NA	NA	NA	NA
8249/3	Synonym	Atypical carcinoid tumor	NA	NA	NA	NA	NA	NA	NA
8249/3	Related	Neuroendocrine carcinoma, moderately differentiated	NA	NA	NA	NA	NA	NA	NA
8249/3	Related	Neuroendocrine tumor, grade 3	NA	NA	NA	NA	NA	NA	NA
8250/0	Preferred	Atypical adenomatous hyperplasia	NA	NA	NA	NA	NA	NA	NA
8250/1	Preferred	Pulmonary adenomatosis	(C34._)	[obs]	NA	NA	NA	NA	NA
8250/2	Preferred	Adenocarcinoma in situ of lung, non-mucinous	(C34._)	NA	NA	NA	NA	NA	NA
8250/3	Preferred	Lepidic adenocarcinoma	(C34._)	NA	NA	NA	NA	NA	NA
8250/3	Synonym	Bronchiolo-alveolar adenocarcinoma, NOS	(C34._)	[obs]	NA	NA	NA	NA	NA
8250/3	Synonym	Bronchiolo-alveolar carcinoma, NOS	(C34._)	[obs]	NA	NA	NA	NA	NA
8250/3	Synonym	Alveolar cell carcinoma	(C34._)	[obs]	NA	NA	NA	NA	NA
8250/3	Synonym	Bronchiolar adenocarcinoma	(C34._)	[obs]	NA	NA	NA	NA	NA
8250/3	Synonym	Bronchiolar carcinoma	(C34._)	[obs]	NA	NA	NA	NA	NA
8251/0	Preferred	Alveolar adenoma	(C34._)	NA	NA	NA	NA	NA	NA
8251/3	Preferred	Alveolar adenocarcinoma	(C34._)	[obs]	NA	NA	NA	NA	NA
8251/3	Synonym	Alveolar carcinoma	NA	[obs]	NA	NA	NA	NA	NA
8252/3	Preferred	Bronchiolo-alveolar carcinoma, non-mucinous	(C34._)	NA	NA	NA	NA	NA	NA
8252/3	Synonym	Bronchiolo-alveolar carcinoma, Clara cell	(C34._)	[obs]	NA	NA	NA	NA	NA
8252/3	Synonym	Bronchiolo-alveolar carcinoma, type II pneumocyte	(C34._)	[obs]	NA	NA	NA	NA	NA
8253/2	Preferred	Adenocarcinoma in situ of lung, mucinous	(C34._)	NA	NA	NA	NA	NA	NA
8253/3	Preferred	Adenocarcinoma of lung, mucinous	(C34._)	NA	NA	NA	NA	NA	NA
8253/3	Synonym	Bronchiolo-alveolar carcinoma, mucinous	(C34._)	[obs]	NA	NA	NA	NA	NA
8253/3	Synonym	Bronchiolo-alveolar carcinoma, goblet cell type	(C34._)	[obs]	NA	NA	NA	NA	NA
8254/3	Preferred	Adenocarcinoma of lung, mixed mucinous and non-mucinous	(C34._)	NA	NA	NA	NA	NA	NA
8254/3	Synonym	Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous	(C34._)	[obs]	NA	NA	NA	NA	NA
8254/3	Synonym	Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type	(C34._)	[obs]	NA	NA	NA	NA	NA
8254/3	Synonym	Bronchiolo-alveolar carcinoma, indeterminate type	(C34._)	[obs]	NA	NA	NA	NA	NA
8254/3	Synonym	Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type	(C34._)	[obs]	NA	NA	NA	NA	NA
8255/3	Preferred	Adenocarcinoma with mixed subtypes	NA	NA	NA	NA	NA	NA	NA
8255/3	Synonym	Adenocarcinoma combined with other types of carcinoma	NA	NA	NA	NA	NA	NA	NA
8256/3	Preferred	Minimally invasive adenocarcinoma, non-mucinous	(C34._)	NA	NA	NA	NA	NA	NA
8257/3	Preferred	Minimally invasive adenocarcinoma, mucinous	(C34._)	NA	NA	NA	NA	NA	NA
8260/0	Preferred	Papillary adenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8260/0	Related	Glandular papilloma	NA	NA	NA	NA	NA	NA	NA
8260/1	Preferred	Aggressive papillary tumor	NA	NA	NA	NA	NA	NA	NA
8260/3	Preferred	Papillary adenocarcinoma, NOS	NA	NA	NA	NA	NA	NA	NA
8260/3	Related	Papillary carcinoma of thyroid	(C73.9)	NA	NA	NA	NA	NA	NA
8260/3	Related	Papillary renal cell carcinoma	(C64.9)	NA	NA	NA	NA	NA	NA
8261/0	Preferred	Villous adenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8261/0	Related	Villous papilloma	NA	NA	NA	NA	NA	NA	NA
8261/2	Preferred	Adenocarcinoma in situ in villous adenoma	NA	NA	NA	NA	NA	NA	NA
8261/3	Preferred	Adenocarcinoma in villous adenoma	NA	NA	NA	NA	NA	NA	NA
8262/3	Preferred	Villous adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8263/0	Preferred	Tubulovillous adenoma, NOS	NA	NA	NA	NA	NA	NA	NA
8263/0	Synonym	Villoglandular adenoma	NA	NA	NA	NA	NA	NA	NA
8263/0	Related	Papillotubular adenoma	NA	NA	NA	NA	NA	NA	NA
8263/0	Synonym	Tubulo-papillary adenoma	NA	NA	NA	NA	NA	NA	NA
8263/2	Preferred	Adenocarcinoma in situ in tubulovillous adenoma	NA	NA	NA	NA	NA	NA	NA
8263/3	Preferred	Adenocarcinoma in tubulovillous adenoma	NA	NA	NA	NA	NA	NA	NA
8263/3	Related	Villoglandular carcinoma	NA	NA	NA	NA	NA	NA	NA
8263/3	Related	Villoglandular variant of endometrioid adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8263/3	Related	Papillotubular adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8263/3	Synonym	Tubulopapillary adenocarcinoma	NA	NA	NA	NA	NA	NA	NA
8264/0	Preferred	Papillomatosis, glandular	NA	[obs]	NA	NA	NA	NA	NA
8264/0	Related	Biliary papillomatosis	(C22.1, C24.0)	[obs]	NA	NA	NA	NA	NA
8265/3	Preferred	Micropapillary carcinoma, NOS	(C18._, C19.9, C20.9, C34._)	NA	NA	NA	NA	NA	NA
8265/3	Related	Micropapillary adenocarcinoma	(C18._, C19.9, C20.9, C34._)	NA	NA	NA	NA	NA	NA
8270/0	Preferred	Chromophobe adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8270/3	Preferred	Chromophobe carcinoma	(C75.1)	NA	NA	NA	NA	NA	NA
8270/3	Synonym	Chromophobe adenocarcinoma	(C75.1)	NA	NA	NA	NA	NA	NA
8271/0	Preferred	Lactotroph adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8271/0	Synonym	Prolactinoma	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Preferred	Pituitary adenoma, NOS	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Related	Corticotroph adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Related	Null cell adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Related	Plurihormonal adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Related	Gonodotroph adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Related	Somatotroph adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Related	Thyrotroph adenoma	(C75.1)	NA	NA	NA	NA	NA	NA
8272/0	Related	Pituitary adenoma, ectopic	NA	NA	NA	NA	NA	NA	NA
8272/3	Preferred	Pituitary carcinoma, NOS	(C75.1)	NA	NA	NA	NA	NA	NA
8273/3	Preferred	Pituitary blastoma	(C75.1)	NA	NA	NA	NA	NA	NA
8280/0	Preferred	Acidophil adenoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8280/0	Synonym	Eosinophil adenoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8280/3	Preferred	Acidophil carcinoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8280/3	Synonym	Acidophil adenocarcinoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8280/3	Synonym	Eosinophil adenocarcinoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8280/3	Synonym	Eosinophil carcinoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8281/0	Preferred	Mixed acidophil-basophil adenoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8281/3	Preferred	Mixed acidophil-basophil carcinoma	(C75.1)	[obs]	NA	NA	NA	NA	NA
8290/0	Preferred	Oxyphilic adenoma	NA	NA	NA	NA	NA	NA	NA
8290/0	Synonym	Oncocytic adenoma	NA	NA	NA	NA	NA	NA	NA
8290/0	Synonym	Oncocytoma	NA	NA	NA	NA	NA	NA	NA
8290/0	Related	Follicular adenoma, oxyphilic cell	(C73.9)	NA	NA	NA	NA	NA	NA
8290/0	Related	Hurthle cell adenoma	(C73.9)	NA	NA	NA	NA	NA	NA
